name,medal_type,medal_date,gender,birth_date,country,discipline,event,lat,long
MILAK Kristof,OURO,2024-08-03,MASCULINO,2000-02-20,Hungary,Swimming,Men's 100m Butterfly,47.162494,19.503304
LIENDO Josh,PRATA,2024-08-03,MASCULINO,2002-08-20,Canada,Swimming,Men's 100m Butterfly,56.130366,-106.346771
KHARUN Ilya,BRONZE,2024-08-03,MASCULINO,2005-02-07,Canada,Swimming,Men's 100m Butterfly,56.130366,-106.346771
McINTOSH Summer,OURO,2024-08-03,FEMININO,2006-08-18,Canada,Swimming,Women's 200m Individual Medley,56.130366,-106.346771
DOUGLASS Kate,PRATA,2024-08-03,FEMININO,2001-11-17,United States,Swimming,Women's 200m Individual Medley,38.7945952,-106.5348379
McKEOWN Kaylee,BRONZE,2024-08-03,FEMININO,2001-07-12,Australia,Swimming,Women's 200m Individual Medley,-25.274398,133.775136
LEDECKY Katie,OURO,2024-08-03,FEMININO,1997-03-17,United States,Swimming,Women's 800m Freestyle,38.7945952,-106.5348379
TITMUS Ariarne,PRATA,2024-08-03,FEMININO,2000-09-07,Australia,Swimming,Women's 800m Freestyle,-25.274398,133.775136
MADDEN Paige,BRONZE,2024-08-03,FEMININO,1998-10-22,United States,Swimming,Women's 800m Freestyle,38.7945952,-106.5348379
CHEN Meng,OURO,2024-08-03,FEMININO,1994-01-15,China,Table Tennis,Women's Singles,35.86166,104.195397
SUN Yingsha,PRATA,2024-08-03,FEMININO,2000-11-04,China,Table Tennis,Women's Singles,35.86166,104.195397
HAYATA Hina,BRONZE,2024-08-03,FEMININO,2000-07-07,Japan,Table Tennis,Women's Singles,36.204824,138.252924
MUSETTI Lorenzo,BRONZE,2024-08-03,MASCULINO,2002-03-03,Italy,Tennis,Men's Singles,41.87194,12.56738
ZHENG Qinwen,OURO,2024-08-03,FEMININO,2002-10-08,China,Tennis,Women's Singles,35.86166,104.195397
VEKIC Donna,PRATA,2024-08-03,FEMININO,1996-06-28,Croatia,Tennis,Women's Singles,45.1,15.2
KIM Woojin,OURO,2024-08-04,MASCULINO,1992-06-20,Korea,Archery,Men's Individual,35.907757,127.766922
ELLISON Brady,PRATA,2024-08-04,MASCULINO,1988-10-27,United States,Archery,Men's Individual,38.7945952,-106.5348379
LEE Wooseok,BRONZE,2024-08-04,MASCULINO,1997-08-07,Korea,Archery,Men's Individual,35.907757,127.766922
LIU Yang,OURO,2024-08-04,MASCULINO,1994-08-11,China,Artistic Gymnastics,Men's Rings,35.86166,104.195397
ZOU Jingyuan,PRATA,2024-08-04,MASCULINO,1998-01-03,China,Artistic Gymnastics,Men's Rings,35.86166,104.195397
PETROUNIAS Eleftherios,BRONZE,2024-08-04,MASCULINO,1990-11-30,Greece,Artistic Gymnastics,Men's Rings,39.074208,21.824312
YULO Carlos Edriel,OURO,2024-08-04,MASCULINO,2000-02-16,Philippines,Artistic Gymnastics,Men's Vault,12.879721,121.774017
DAVTYAN Artur,PRATA,2024-08-04,MASCULINO,1992-08-08,Armenia,Artistic Gymnastics,Men's Vault,40.069099,45.038189
HEPWORTH Harry,BRONZE,2024-08-04,MASCULINO,2003-12-06,Great Britain,Artistic Gymnastics,Men's Vault,55.378051,-3.435973
NEMOUR Kaylia,OURO,2024-08-04,FEMININO,2006-12-30,Algeria,Artistic Gymnastics,Women's Uneven Bars,28.033886,1.659626
QIU Qiyuan,PRATA,2024-08-04,FEMININO,2007-05-24,China,Artistic Gymnastics,Women's Uneven Bars,35.86166,104.195397
LEE Sunisa,BRONZE,2024-08-04,FEMININO,2003-03-09,United States,Artistic Gymnastics,Women's Uneven Bars,38.7945952,-106.5348379
LYLES Noah,OURO,2024-08-04,MASCULINO,1997-07-18,United States,Athletics,Men's 100m,38.7945952,-106.5348379
THOMPSON Kishane,PRATA,2024-08-04,MASCULINO,2001-07-17,Jamaica,Athletics,Men's 100m,18.109581,-77.297508
KERLEY Fred,BRONZE,2024-08-04,MASCULINO,1995-05-07,United States,Athletics,Men's 100m,38.7945952,-106.5348379
KATZBERG Ethan,OURO,2024-08-04,MASCULINO,2002-04-05,Canada,Athletics,Men's Hammer Throw,56.130366,-106.346771
HALASZ Bence,PRATA,2024-08-04,MASCULINO,1997-08-04,Hungary,Athletics,Men's Hammer Throw,47.162494,19.503304
KOKHAN Mykhaylo,BRONZE,2024-08-04,MASCULINO,2001-01-22,Ukraine,Athletics,Men's Hammer Throw,48.379433,31.16558
MAHUCHIKH Yaroslava,OURO,2024-08-04,FEMININO,2001-09-19,Ukraine,Athletics,Women's High Jump,48.379433,31.16558
OLYSLAGERS Nicola,PRATA,2024-08-04,FEMININO,1996-12-28,Australia,Athletics,Women's High Jump,-25.274398,133.775136
GERASHCHENKO Iryna,BRONZE,2024-08-04,FEMININO,1995-03-10,Ukraine,Athletics,Women's High Jump,48.379433,31.16558
PATTERSON Eleanor,BRONZE,2024-08-04,FEMININO,1996-05-22,Australia,Athletics,Women's High Jump,-25.274398,133.775136
TUNJUNG Gregoria Mariska,BRONZE,2024-08-04,FEMININO,1999-08-11,Indonesia,Badminton,Women's Singles,-0.789275,113.921327
ALCANTARA REYES Yunior,BRONZE,2024-08-04,MASCULINO,2004-02-10,Dominican Republic,Boxing,Men's 51kg,18.735693,-70.162651
de PINA David,BRONZE,2024-08-04,MASCULINO,1996-08-07,Cabo Verde,Boxing,Men's 51kg,16.5388,-23.0418
SANFORD Wyatt,BRONZE,2024-08-04,MASCULINO,1998-11-03,Canada,Boxing,Men's 63.5kg,56.130366,-106.346771
GURULI Lasha,BRONZE,2024-08-04,MASCULINO,1996-08-27,Georgia,Boxing,Men's 63.5kg,42.315407,43.356892
PINALES Cristian Javier,BRONZE,2024-08-04,MASCULINO,2000-11-02,Dominican Republic,Boxing,Men's 80kg,18.735693,-70.162651
